cluster,cluster_label,count,last_update
0,alerta com españa internacional marca,371,2026-04-06 22:01:16+00:00
1,dónde gratis horario tv ver,301,2026-04-06 22:01:16+00:00
2,com economía españa guerra millones,2370,2026-04-06 22:01:16+00:00
3,arcadi carlos cuerpo españa hacienda,498,2026-04-06 22:01:16+00:00
4,000 años gobierno trump zaragoza,21558,2026-04-06 22:01:16+00:00
5,castillo eutanasia joven noelia tras,290,2026-04-06 22:01:16+00:00
6,artemis astronautas ii luna misión,576,2026-04-06 22:01:16+00:00
7,barcelona internacional madrid real rosalía,888,2026-04-06 22:01:16+00:00
8,2026 abril comprobar hoy marzo,969,2026-04-06 22:01:16+00:00
9,directo guerra irán israel trump,2618,2026-04-06 22:01:16+00:00
10,así españa internacional irán nuevo,663,2026-04-06 22:01:16+00:00
11,2026 españa málaga santa semana,1190,2026-04-06 22:01:16+00:00
12,años detenido dos ser tras,1907,2026-04-06 22:01:16+00:00
13,2026 com diario día internacional,2184,2026-04-06 22:01:16+00:00
14,039 años españa quot si,455,2026-04-06 22:01:16+00:00
