fecha,tipo,clave,total
2026-03-18,tema,politica,86
2026-03-18,tema,internacional,166
2026-03-18,tema,vivienda,5
2026-03-18,tema,economia,42
2026-03-18,tema,justicia,14
2026-03-18,tema,educacion,14
2026-03-18,tema,inmigracion,4
2026-03-18,tema,otros,11
2026-03-18,tema,seguridad,2
2026-03-18,tema,genero,2
2026-03-19,tema,economia,457
2026-03-19,tema,vivienda,316
2026-03-19,tema,internacional,1389
2026-03-19,tema,seguridad,278
2026-03-19,tema,politica,661
2026-03-19,tema,educacion,307
2026-03-19,tema,justicia,491
2026-03-19,tema,genero,395
2026-03-19,tema,otros,67
2026-03-19,tema,medioambiente,102
2026-03-19,tema,inmigracion,145
2026-03-19,tema,sanidad,193
2026-03-20,tema,economia,214
2026-03-20,tema,inmigracion,55
2026-03-20,tema,vivienda,184
2026-03-20,tema,seguridad,114
2026-03-20,tema,politica,339
2026-03-20,tema,internacional,542
2026-03-20,tema,genero,138
2026-03-20,tema,justicia,180
2026-03-20,tema,educacion,113
2026-03-20,tema,otros,10
2026-03-20,tema,medioambiente,50
2026-03-20,tema,sanidad,59
2026-03-21,tema,justicia,147
2026-03-21,tema,vivienda,143
2026-03-21,tema,politica,247
2026-03-21,tema,internacional,413
2026-03-21,tema,economia,154
2026-03-21,tema,educacion,120
2026-03-21,tema,genero,119
2026-03-21,tema,otros,15
2026-03-21,tema,inmigracion,33
2026-03-21,tema,seguridad,68
2026-03-21,tema,medioambiente,38
2026-03-21,tema,sanidad,35
2026-03-22,tema,politica,267
2026-03-22,tema,internacional,409
2026-03-22,tema,inmigracion,68
2026-03-22,tema,economia,153
2026-03-22,tema,justicia,165
2026-03-22,tema,vivienda,153
2026-03-22,tema,seguridad,116
2026-03-22,tema,genero,158
2026-03-22,tema,otros,30
2026-03-22,tema,medioambiente,31
2026-03-22,tema,sanidad,107
2026-03-22,tema,educacion,117
2026-03-23,tema,politica,368
2026-03-23,tema,internacional,596
2026-03-23,tema,justicia,272
2026-03-23,tema,sanidad,64
2026-03-23,tema,seguridad,128
2026-03-23,tema,genero,167
2026-03-23,tema,otros,23
2026-03-23,tema,economia,225
2026-03-23,tema,vivienda,154
2026-03-23,tema,medioambiente,31
2026-03-23,tema,educacion,152
2026-03-23,tema,inmigracion,67
2026-03-24,tema,internacional,725
2026-03-24,tema,politica,420
2026-03-24,tema,economia,272
2026-03-24,tema,justicia,272
2026-03-24,tema,educacion,160
2026-03-24,tema,vivienda,177
2026-03-24,tema,genero,206
2026-03-24,tema,sanidad,102
2026-03-24,tema,otros,23
2026-03-24,tema,seguridad,122
2026-03-24,tema,inmigracion,82
2026-03-24,tema,medioambiente,15
2026-03-25,tema,politica,358
2026-03-25,tema,internacional,654
2026-03-25,tema,justicia,228
2026-03-25,tema,genero,125
2026-03-25,tema,educacion,124
2026-03-25,tema,vivienda,110
2026-03-25,tema,economia,211
2026-03-25,tema,sanidad,70
2026-03-25,tema,inmigracion,63
2026-03-25,tema,seguridad,120
2026-03-25,tema,medioambiente,16
2026-03-25,tema,otros,11
2026-03-26,tema,educacion,202
2026-03-26,tema,internacional,791
2026-03-26,tema,politica,509
2026-03-26,tema,sanidad,139
2026-03-26,tema,otros,17
2026-03-26,tema,justicia,313
2026-03-26,tema,vivienda,215
2026-03-26,tema,economia,328
2026-03-26,tema,inmigracion,99
2026-03-26,tema,genero,235
2026-03-26,tema,seguridad,164
2026-03-26,tema,medioambiente,29
2026-03-27,tema,politica,278
2026-03-27,tema,internacional,515
2026-03-27,tema,seguridad,123
2026-03-27,tema,justicia,183
2026-03-27,tema,economia,163
2026-03-27,tema,inmigracion,62
2026-03-27,tema,sanidad,51
2026-03-27,tema,genero,172
2026-03-27,tema,vivienda,78
2026-03-27,tema,medioambiente,13
2026-03-27,tema,educacion,125
2026-03-27,tema,otros,20
2026-03-28,tema,seguridad,87
2026-03-28,tema,justicia,144
2026-03-28,tema,internacional,390
2026-03-28,tema,economia,161
2026-03-28,tema,sanidad,63
2026-03-28,tema,educacion,99
2026-03-28,tema,vivienda,86
2026-03-28,tema,politica,185
2026-03-28,tema,genero,104
2026-03-28,tema,inmigracion,48
2026-03-28,tema,otros,7
2026-03-28,tema,medioambiente,29
2026-03-29,tema,internacional,313
2026-03-29,tema,otros,26
2026-03-29,tema,genero,121
2026-03-29,tema,medioambiente,18
2026-03-29,tema,educacion,91
2026-03-29,tema,politica,183
2026-03-29,tema,inmigracion,55
2026-03-29,tema,economia,150
2026-03-29,tema,sanidad,65
2026-03-29,tema,seguridad,87
2026-03-29,tema,justicia,152
2026-03-29,tema,vivienda,75
2026-03-30,tema,internacional,307
2026-03-30,tema,politica,174
2026-03-30,tema,seguridad,87
2026-03-30,tema,justicia,134
2026-03-30,tema,sanidad,37
2026-03-30,tema,educacion,58
2026-03-30,tema,otros,15
2026-03-30,tema,inmigracion,50
2026-03-30,tema,vivienda,74
2026-03-30,tema,medioambiente,10
2026-03-30,tema,genero,108
2026-03-30,tema,economia,100
2026-03-31,tema,internacional,641
2026-03-31,tema,politica,336
2026-03-31,tema,seguridad,121
2026-03-31,tema,economia,192
2026-03-31,tema,justicia,236
2026-03-31,tema,genero,176
2026-03-31,tema,vivienda,118
2026-03-31,tema,sanidad,80
2026-03-31,tema,educacion,148
2026-03-31,tema,inmigracion,66
2026-03-31,tema,medioambiente,32
2026-03-31,tema,otros,16
2026-04-01,tema,internacional,443
2026-04-01,tema,justicia,169
2026-04-01,tema,politica,241
2026-04-01,tema,seguridad,92
2026-04-01,tema,educacion,119
2026-04-01,tema,otros,21
2026-04-01,tema,vivienda,65
2026-04-01,tema,medioambiente,23
2026-04-01,tema,economia,134
